Year,Event Name,Continent,Event Description,Country,Decade,Event Type,Trigger,Magnitude(M),Spread(S),Intensity(I),Duration(D),Outcome/Impact(R),Magnitude_label,Spread_label,Intensity_label,Duration_label,Outcome_label,Mode,Segment
2020,Synthetic regional tech adoption,North America,"A fictional regional rollout of a new collaboration platform across several states led to rapid adoption in education and healthcare sectors over 18 months.",United States,2020's,Technology,Opportunity,5.0,5.0,5.0,6.0,6.0,Moderate,Multi-Regional,Moderate,Long,Strong,Diffusive,S1 - Aligned Expansion
2019,Synthetic local community campaign,Europe,"A synthetic local campaign in a mid-sized city to promote recycling and waste reduction ran for two weeks with moderate participation.",Germany,2010's,Social,Policy,3.0,3.0,3.0,2.0,3.0,Low,City-Level,Low,Very Short,Low,Diffusive,S5 - Low Energy Diffusion
2018,Synthetic market volatility event,Asia,"A fictional short-lived market sell-off triggered by automated trading and sentiment algorithms, lasting several days.",Japan,2010's,Financial,Fear,7.0,8.0,8.0,2.0,5.0,High,Multi-National,Very High,Very Short,Moderate,Diffusive,S2 - Emotion-Driven
2021,Synthetic consumer trend surge,Europe,"A hypothetical viral consumer trend around sustainable packaging spread across multiple countries over six months.",France,2020's,Consumer,Hype,6.0,7.0,6.0,5.0,5.0,Moderate-High,Multi-National,Moderate-High,Moderate,Moderate,Diffusive,S1 - Aligned Expansion
2017,Synthetic industrial dispute,South America,"A fictional labor dispute at a large manufacturing region that escalated into strikes and negotiations over two months.",Brazil,2010's,Industrial,Repression,6.0,5.0,7.0,4.0,6.0,Moderate-High,Multi-Regional,High,Moderate-Short,Strong,Diffusive,S2 - Emotion-Driven
2022,Synthetic policy-driven migration,Africa,"A hypothetical policy change in one country led to increased cross-border movement and regional coordination over one year.",Kenya,2020's,Social,Policy,5.0,6.0,5.0,7.0,6.0,Moderate,National,Moderate,Extended,Strong,Diffusive,S1 - Aligned Expansion
2016,Synthetic flash protest,North America,"A fictional one-day coordinated protest in multiple cities in response to a single policy announcement.",Canada,2010's,Social,Repression,5.0,5.0,6.0,1.0,4.0,Moderate,Multi-Regional,Moderate-High,Momentary,Moderate-Low,Diffusive,S3 - Volatile Expansion
2023,Synthetic long-running reform movement,Oceania,"A fictional multi-year public campaign for regulatory reform involving consultations and phased implementation.",Australia,2020's,Social,Policy,6.0,6.0,5.0,9.0,7.0,Moderate-High,National,Moderate,Multi-Year,Significant,Diffusive,S1 - Aligned Expansion
2015,Synthetic low-intensity diffusion,Asia,"A hypothetical slow adoption of a new standard across industries with minimal public attention over several years.",Singapore,2010's,Technology,Opportunity,4.0,6.0,2.0,8.0,5.0,Moderate-Low,National,Very Low,Very Long,Moderate,Diffusive,S5 - Low Energy Diffusion
2024,Synthetic high-intensity sustained crisis,Europe,"A fictional prolonged crisis scenario with high public concern and policy response spanning 10 months.",Italy,2020's,Social,Fear,7.0,6.0,8.0,8.0,7.0,High,National,Very High,Very Long,Significant,Diffusive,S4 - Persistent Friction
