Year,Event Name,Continent
1925,South African Rand mine strike,Africa
1926,Birth of Pan-African Congress,Africa
1927,Foundation of ANC Youth League (SA),Africa
1928,South African Black political conference,Africa
1930,Mass migration for economic reasons in Sahel,Africa
1931,Libya: Resistance against Italian colonization,Africa
1932,Egypt: Mass protests for independence,Africa
1933,"Anticolonial riots, Kenya",Africa
1934,Moroccan urban protests,Africa
1935,Italian invasion of Ethiopia (mobilizations),Africa
1936,Mass labor strikes in Ghana,Africa
1937,South African Gold Mineworkers' Strike,Africa
1938,Madagascar peasant uprising,Africa
1939,Start of WWII: colonial mobilizations Africa-wide,Africa
1940,Mass conscription in French West Africa,Africa
1941,Battle for Tobruk (mass allied troop movements),Africa
1942,Uprising in Congo minelands,Africa
1943,Famine-driven mass migrations Ethiopia/Sudan,Africa
1944,Staged labor actions in Nigerian oil fields,Africa
1945,Pan-African Congress Manchester,Africa
1925,Universal male suffrage (Japan),Asia
1926,Shanghai workers' general strike (China),Asia
1927,Indian civil disobedience campaign,Asia
1928,Jinan incident (China),Asia
1929,Indonesian independence rallies,Asia
1930,Gandhi’s Salt March (India),Asia
1931,Mukden Incident (Manchuria),Asia
1932,Mass boycott/protest Shanghai,Asia
1933,Mass resistance: Burma (Myanmar),Asia
1934,Nepal anti-Rana protest movement,Asia
1935,"Anti-Japanese riots, Beijing",Asia
1936,Student protests Japan,Asia
1937,Japanese invasion China: mass displacements,Asia
1938,Korea: forced labor protests,Asia
1939,Nationalist movements Indonesia/Philippines,Asia
1940,Mass exodus in Southeast Asia (WWII),Asia
1941,Pearl Harbor: mass recruitment (Japan),Asia
1942,Japanese relocation of civilians Malaya/Singapore,Asia
1943,Bengal famine migration,Asia
1945,Indonesian independence demonstrations,Asia
1925,Treaty of Locarno—pan-European peace movement,Europe
1926,General Strike UK,Europe
1927,Socialist party purges Italy,Europe
1928,"Kellogg-Briand Pact, anti-war mobilization",Europe
1929,Great Depression mass protests,Europe
1930,Nazi Party rallies Germany,Europe
1931,Spanish Republic: mass mobilization,Europe
1932,Hunger marches (UK),Europe
1933,Hitler seizes power: mass rallies,Europe
1934,Vienna Uprising,Europe
1935,"Mass anti-war protest, France/UK",Europe
1936,Spanish Civil War mobilizations,Europe
1937,Popular Front rallies France,Europe
1938,Sudetenland mobilization (Czechoslovakia),Europe
1939,Start of WWII: European mass displacement,Europe
1940,Dunkirk evacuation: mass civilian involvement,Europe
1941,Siege of Leningrad: civilian solidarity,Europe
1942,French Resistance mass mobilization,Europe
1943,Warsaw Ghetto Uprising,Europe
1944,"Liberation movements, Paris",Europe
1925,Scopes Monkey Trial mass interest USA,North America
1926,Harlem Renaissance: cultural movement,North America
1927,Mississippi flood mass migration,North America
1928,Massive social response to Lindbergh flight,North America
1929,Black Tuesday: Wall Street panic,North America
1930,Depression: breadlines and migrations,North America
1931,Scottsboro Boys trial protests,North America
1932,Bonus Army march Washington DC,North America
1933,New Deal mass mobilizations,North America
1934,Dust Bowl migration,North America
1935,NAACP mass protest campaigns,North America
1936,Labor strikes—automobile industry,North America
1937,"Memorial Day massacre, labor movement",North America
1938,Fair labor standards act rallies,North America
1939,"WWII outbreak, enlistment mobilizations",North America
1940,Selective Service Act draft (USA),North America
1941,"Pearl Harbor, mass enlistment",North America
1942,Internment of Japanese Americans,North America
1943,"Zoot Suit riots (LA, CA)",North America
1945,"Post-war demobilization, celebrations",North America
1925,São Paulo Modern Art Week (Brazil),South America
1926,Argentine labor strikes,South America
1927,Colombia: banana workers' strike,South America
1928,Chile: nitrate miners' mass mobilization,South America
1929,Economic crisis: urban protests in Peru,South America
1930,Brazilian Revolution,South America
1931,Argentina: anarchist uprisings,South America
1932,Uruguay: general strike,South America
1933,Ecuador: indigenous mobilizations,South America
1934,Chile: women's suffrage movement,South America
1935,Bolivia: Chaco War mass enlistments,South America
1936,Peronist movement launches (Argentina),South America
1937,Colombia: teacher walkouts,South America
1938,Venezuela: petroleum workers' protests,South America
1939,"Mass migrations post-civil unrest, Chile",South America
1940,Ecuador: constitutional upheaval,South America
1941,Peru-Ecuador border war mobilizations,South America
1942,Rio Carnival: mass participation,South America
1943,Argentine worker rallies,South America
1945,Brazilian Labor Law mobilizations,South America
1925,Aboriginal Rights Petitions (Australia),Australia/Oceania
1926,Australian mining industry strikes,Australia/Oceania
1927,Papua land protests,Australia/Oceania
1928,National referendum mobilizations (Aus),Australia/Oceania
1929,Mass unemployment protests (Australia),Australia/Oceania
1930,New Zealand Maori protest march,Australia/Oceania
1931,Great Depression: food riots Australia,Australia/Oceania
1932,Sydney Harbour Bridge Opening (mass event),Australia/Oceania
1933,Australian Aborigines Progress Association formed,Australia/Oceania
1934,Tonga: anti-monarchist protests,Australia/Oceania
1935,New Guinea: mass labor protests,Australia/Oceania
1936,Fiji land protests,Australia/Oceania
1937,Australian coastwatchers mobilizations,Australia/Oceania
1938,“Day of Mourning” Aboriginal protests Aus,Australia/Oceania
1939,WWII mass enlistment Oceania,Australia/Oceania
1940,"Mass rationing, public mobilization",Australia/Oceania
1941,Australian POW uprisings (Cowra breakout),Australia/Oceania
1942,Mass civil defense movement,Australia/Oceania
1943,New Zealand war protests,Australia/Oceania
1944,Bougainville campaign: mass mobilization,Australia/Oceania
1945,"Post-war migration (Australia, NZ)",Australia/Oceania
1945,"Pan-African Congress, Manchester",Africa
1946,Ethiopian independence movement,Africa
1947,Madagascar uprising,Africa
1948,Ghana Accra riots,Africa
1949,Nigerian coal miners’ strike,Africa
1950,Foundation of ANC Youth League (SA),Africa
1951,Gold Coast: CPP mass organization,Africa
1952,Mau Mau Uprising (Kenya),Africa
1953,Northern Rhodesian strikes,Africa
1954,Algerian War of Independence begins,Africa
1955,Bandung Conference (African leaders),Africa
1956,Sudan independence rallies,Africa
1957,Ghana becomes independent,Africa
1958,Fossil fuel strikes Niger delta,Africa
1959,Congo: Leopoldville riots,Africa
1960,17 African nations gain independence,Africa
1961,South African anti-apartheid demonstrations,Africa
1962,Algerian independence: mass exodus,Africa
1963,Kenya: anti-colonial unrest,Africa
1964,Zanzibar Revolution,Africa
1965,Rhodesia’s UDI—international crisis,Africa
1945,End of WWII: mass repatriations,Asia
1946,Japan's new constitution adopted,Asia
1947,Partition of India/Pakistan: migration crisis,Asia
1948,Communist revolution China nears completion,Asia
1949,Mao Zedong proclaims PRC,Asia
1950,Korean War mobilizations,Asia
1951,"UN interventions, refugee movements",Asia
1952,"Tokyo Treaty, Japanese protests",Asia
1953,Iranian coup—mass protests,Asia
1954,Vietnamese anti-French demonstrations,Asia
1955,Bandung Conference (pan-Asian mobilization),Asia
1956,Tibetan uprising,Asia
1957,Chinese Communist campaigns,Asia
1958,North Korea collectivization,Asia
